filename	altitude	azimuth	thin_sky_cover	opaque_sky_cover	fractional_sky_cover	fractional_sky_cover_hybrid	thin_sky_cover_TSI	opaque_sky_cover_TSI	fractional_sky_cover_TSI	energy	entropy	contrast	homogeneity	outside_c	outside_s	horizon_c	horizon_s	inner_c	inner_s	sun_c	sun_s
2017081612370	50.18653138483115	200.1663327655518	0.0	0.9996864417408755	0.9996864417408755	0.9999163844642335	0.0917312661498708	0.9082460673647944	0.9999773335146652	16243520	186198.89452417407	10281694	60656.03856293384	23305	0	6809	9	15428	6	2281	0
2017081612380	50.132741748033254	200.53630716744217	0.0	0.9998746107709348	0.9998746107709348	0.999895508975779	0.06977166050656447	0.9302056642706514	0.9999773247772159	16604104	183765.40201604617	11475784	59476.56209583262	23321	0	6802	0	15430	6	2292	0
2017081612390	50.07802172607598	200.90553049380867	0.0	0.999811924017303	0.999811924017303	0.9999164106743569	0.04866102809460103	0.9512482710142627	0.9999092991088637	16598196	183419.83675698566	11281829	59168.36305833709	23309	0	6796	2	15456	7	2283	0
2017081612400	50.022375485762566	201.2739931778558	0.0	0.9998746526834771	0.9998746526834771	0.9999373263417386	0.042798913043478264	0.9571557971014493	0.9999547101449275	15964662	185251.15971624877	10487006	59979.98359593247	23328	0	6784	0	15457	6	2292	0
2017081612410	49.96580724191881	201.6416858592328	0.0	0.9998326814882982	0.9998326814882982	0.9999581703720746	0.03750736994875051	0.9624926300512495	1.0	16255312	183756.41602584376	11168289	59148.547493674996	23322	0	6751	4	15484	4	2248	0
2017081612420	49.908321256085735	202.00859938482208	0.0	0.9998954521693675	0.9998954521693675	0.9999790899966544	0.027610908349012763	0.9723890916509872	1.0	15899742	181596.29121601052	12516694	58668.45042140232	23337	0	6745	0	15483	5	2255	0
2017081612430	49.84992183525159	202.37472480930572	0.0	1.0	1.0	1.0	0.04701213289488604	0.9529425104887176	0.9999546433836036	16418516	180233.64466807342	13423128	57595.37687221307	23322	0	6759	0	15480	0	2240	0
2017081612440	49.790613330540076	202.7400533956241	0.0	1.0	1.0	1.0	0.036817614345704235	0.963136987856089	0.9999546022017932	16840266	181346.11697605858	13019119	58074.73921743978	23336	0	6731	0	15503	0	2240	0
2017081612450	49.73040013591421	203.10457661536657	0.0	1.0	1.0	1.0	0.051208781240078015	0.9487458611148909	0.9999546423549689	17408312	182388.59558338896	12582142	58592.19710813524	23301	0	6807	0	15446	0	2263	0
2017081612460	49.66928668690294	203.46828614905732	0.0	1.0	1.0	1.0	0.058359942930905635	0.9415947641370565	0.9999547070679621	18167642	182157.25084535027	12811709	58213.72312829399	23278	0	6817	0	15471	0	2260	0
2017081612470	49.60727745929458	203.83117388628094	0.0	1.0	1.0	1.0	0.0783309926154125	0.9216010510578535	0.999932043673266	18105250	182270.43589948252	12515116	58021.21288851787	23338	0	6758	0	15477	0	2268	0
2017081612480	49.54437696785715	204.19323192569337	0.0	1.0	1.0	1.0	0.06977271182215776	0.9301819665072855	0.9999546783294432	19480604	182583.60718843067	12701489	57918.19548300986	23336	0	6767	0	15477	0	2282	0
2017081612490	49.480589765065574	204.55445257504175	0.0	1.0	1.0	1.0	0.07232982217691698	0.927647525201042	0.999977347377959	20424838	181745.18456004708	12761084	57158.56815503379	23351	0	6715	0	15504	0	2235	0
2017081612500	49.41592043981858	204.9148283509085	0.0	1.0	1.0	1.0	0.06088966439302953	0.9390876747716921	0.9999773391647216	19823778	181230.51327020625	13288825	56985.13445488399	23306	0	6759	0	15504	0	2232	0
2017081612510	49.35037361615424	205.2743519785236	0.0	1.0	1.0	1.0	0.08364114301253144	0.9163135353169117	0.9999546783294432	19652206	183769.74852120137	12174546	57956.328348844174	23302	0	6745	0	15538	0	2232	0
2017081612520	49.28395395201189	205.63301639137174	0.0	1.0	1.0	1.0	0.11082427536231884	0.8890851449275362	0.9999094202898551	18935794	184756.5616655243	11360472	58660.28689120263	23323	0	6730	0	15538	0	2241	0
